"duBedMusM","pm25","id"
2423,15.56000042,1
2793,34.36999893,2
3055,38.95299911,3
775,33.24900055,4
1634,27.05999947,5
939,18.88999939,6
752,NA,7
134,5.175000191,8
167,10.87300014,9
258,16.71699905,10
200,17.80800056,11
101,6.583000183,12
304,5.006000042,13
NA,9.227999687,14
29,14.92700005,15
NA,13.95600033,16
848,10.70300007,17
1924,11.01399994,18
1500,16.77099991,19
1335,19.56699944,20
10371,17.86400032,21
5056,NA,22
2931,23.61899948,23
1959,NA,24
9389,33.02399826,25
4789,43.7840004,26
2381,40.76300049,27
NA,27.3939991,28
129,21.82900047,29
NA,31.38599968,30
760,26.31299973,31
1608,23.49099922,32
2395,NA,33
691,22.11700058,34
1303,30.06100082,35
264,39.86399841,36
74,28.26399994,37
304,26.68600082,38
175,35.61600113,39
371,36.61600113,40
419,27.08099937,41
1256,17.80200005,42
NA,33.14599991,43
81,11.98499966,44
NA,7.968999863,45
187,64.57800293,46
48,24.39699936,47
89,48.07099915,48
349,14.57499981,49
120,21.9829998,50
1093,0.234999999,51
769,29.61199951,52
578,7.870999813,53
NA,14.1420002,54
643,35.36600113,55
18807,13.08699989,56
6121,22.02899933,57
990,17.59300041,58
2651,27.84000015,59
1498,15.30099964,60
NA,17.47200012,61
124919,51.45399857,62
49471,26.35499954,63
2415,21.21100044,64
1410,26.69499969,65
324,3.280999899,66
NA,NA,67
140,10.30900002,68
2509,16.68700027,69
1144,8.213999748,70
3535,39.32099915,71
2303,20.91600037,72
NA,NA,73
5536,17.51499939,74
11707,14.33100033,75
NA,22.49300003,76
NA,17.92499924,77
4559,24.39999962,78
2548,20.00900078,79
5509,20.3409996,80
70,20.5739994,81
290,38.73600006,82
3533,9.251000404,83
10658,15.22900009,84
9993,14.40999985,85
912,67.81400299,86
610,92.39299774,87
1100,110.4520035,88
713,79.41999817,89
193,87.6780014,90
8694,27.9829998,91
3408,26.42099953,92
NA,NA,93
4002,41.48099899,94
3220,100.4489975,95
876,19.54599953,96
321,73.51899719,97
NA,74.65200043,98
NA,133.4499969,99
728,40.26100159,100
3459,9.171999931,101
8592,14.69099998,102
11177,10.80599976,103
NA,36.46300125,104
NA,NA,105
1980,11.62100029,106
285,28.3920002,107
53,22.97699928,108
352,15.19699955,109
NA,21.7329998,110
479,15.99400043,111
576,14.27900028,112
567,10.85400009,113
646,17.375,114
NA,41.17499924,115
1758,46.06399918,116
1376,198.9550018,117
NA,27.00300026,118
2584,28.79599953,119
904,62.40599823,120
3986,29.90600014,121
1609,35.73199844,122
814,19.79700089,123
1076,21.88800049,124
918,12.14099979,125
116,140.9029999,126
216,88.41000366,127
63,129.6880035,128
79,41.27799988,129
250,69.70200348,130
3558,38.74000168,131
3369,40.93999863,132
6708,40.1609993,133
778,30.03499985,134
10221,45.42100143,135
1543,71.45600128,136
4925,76.11599731,137
4935,31.93799973,138
372,43.20999908,139
368,12.8739996,140
495,39.29000092,141
8042,20.95000076,142
46365,77.73999786,143
40430,45.40599823,144
NA,13.68500042,145
570,16.12000084,146
451,18.39299965,147
872,15.92300034,148
NA,47.50299835,149
4366,23.18300056,150
3994,25.09300041,151
2916,65.22100067,152
7034,NA,153
5388,15.61499977,154
1349,11.10299969,155
2988,12.57499981,156
NA,17.32600021,157
2235,10.6079998,158
2535,7.605999947,159
1940,51.54600143,160
56846,12.77299976,161
2131,39.60400009,162
NA,62.27299881,163
4605,14.77099991,164
37034,12.72099972,165
17139,20.74200058,166
5121,11.82800007,167
4649,11.89700031,168
3603,9.467000008,169
3939,33.12400055,170
1400,28.50300026,171
NA,NA,172
NA,NA,173
NA,NA,174
NA,NA,175
4198,35.25400162,176
4401,16.09600067,177
NA,22.01199913,178
3784,13.20600033,179
6793,41.5359993,180
NA,8.543999672,181
NA,11.05200005,182
NA,NA,183
1270,44.91999817,184
342,58.61600113,185
11784,12.0880003,186
7093,17.11599922,187
12530,11.34200001,188
4794,12.58100033,189
NA,NA,190
NA,NA,191
13181,21.78800011,192
NA,NA,193
15693,110.7279968,194
2229,21.03199959,195
NA,30.56900024,196
1809,14.77099991,197
467,NA,198
NA,NA,199
79,9.138999939,200
1281,45.42699814,201
NA,13.82199955,202
3280,NA,203
1356,6.869999886,204
740,12.75199986,205
NA,10.74800014,206
18981,13.13300037,207
298,6.070000172,208
409,22.53899956,209
257,15.26500034,210
1824,26.38599968,211
NA,NA,212
34,51.07799911,213
4347,34.70899963,214
314,13.30500031,215
601,38.43999863,216
718,14.20400047,217
1172,31.57799911,218
543,20.1989994,219
1122,9.850000381,220
649,10.81799984,221
1207,16.09600067,222
636,NA,223
NA,13.74199963,224
NA,NA,225
1432,73.16000366,226
4646,47.26900101,227
1627,87.30000305,228
823,29.22200012,229
3239,118.8280029,230
1329,4.731999874,231
509,18.1420002,232
908,10.55000019,233
NA,10.96700001,234
NA,12.89700031,235
217,16.83399963,236
2948,11.5340004,237
2558,10.31299973,238
1936,19.56800079,239
9039,18.97500038,240
6096,35.3429985,241
6409,109.8330002,242
5545,55.5870018,243
NA,30.7140007,244
3593,43.38700104,245
22775,13.08600044,246
42714,52.77700043,247
13323,23.35000038,248
7334,NA,249
NA,11.85200024,250
799,55.61399841,251
4935,55.04499817,252
NA,34.25500107,253
858,23.44300079,254
6093,45.65599823,255
2932,25.93600082,256
1446,35.84199905,257
NA,21.54199982,258
NA,37.26599884,259
NA,34.03900146,260
233,24.42099953,261
206,14.88700008,262
342,44.34199905,263
146,25.11400032,264
42,20.28800011,265
204,37.81800079,266
NA,NA,267
359,10.44900036,268
368,20.8409996,269
179,53.13700104,270
2400,45.08399963,271
10658,17.55800056,272
NA,27.42399979,273
NA,NA,274
NA,NA,275
NA,10.46199989,276
4330,16.26499939,277
3350,13.57400036,278
NA,NA,279
NA,9.930999756,280
NA,NA,281
NA,NA,282
NA,NA,283
NA,NA,284
NA,NA,285
380,NA,286
176,14.52600002,287
268,15.25199986,288
345,12.66300011,289
527,NA,290
NA,42.41400146,291
587,37.55899811,292
1915,55.64599991,293
NA,24.22800064,294
33,38.63700104,295
NA,34.71300125,296
45221,39.81000137,297
NA,NA,298
NA,NA,299
NA,NA,300
4113,NA,301
7042,23.70599937,302
6140,16.78100014,303
4023,43.26900101,304
5387,22.04400063,305
263,8.531999588,306
148,NA,307
105,16.37700081,308
163,17.01300049,309
NA,NA,310
NA,9.737999916,311
1853,14.85200024,312
288,53.89899826,313
534,20.50200081,314
NA,NA,315
4795,92.7559967,316
NA,23.21199989,317
NA,NA,318
NA,8.739999771,319
67,18.34700012,320
560,17.86100006,321
NA,13.24800014,322
1179,18.41900063,323
937,11.73099995,324
2146,12.88899994,325
13080,27.66300011,326
4212,38.84199905,327
8662,21.81100082,328
2594,17.65600014,329
23103,29.22999954,330
3971,30.62599945,331
2999,28.76600075,332
2636,37.22999954,333
NA,NA,334
NA,NA,335
36962,8.277000427,336
12000,13.87800026,337
55439,9.194000244,338
NA,NA,339
NA,30.60199928,340
49376,8.779999733,341
35942,25.7689991,342
4149,39.18600082,343
17046,3.562000036,344
102049,9.470000267,345
13131,15.36100006,346
3110,16.95299911,347
3368,20.16900063,348
14386,10.58399963,349
19589,16.5189991,350
115,18.82299995,351
164,24.52199936,352
77,22.02700043,353
103,29.23999977,354
NA,11.18900013,355
821,NA,356
407,25.90099907,357
383,26.18499947,358
1008,26.54599953,359
NA,24.8029995,360
NA,NA,361
134,45.02600098,362
NA,55.46900177,363
NA,NA,364
178,9.93599987,365
876,13.20600033,366
1443,NA,367
NA,5.670000076,368
361,11.20300007,369
308,8.708000183,370
3966,20.14500046,371
3194,37.02899933,372
3423,24.7159996,373
8934,10.70400047,374
11024,6.968999863,375
1156,16.99099922,376
11236,17.71899986,377
NA,33.53099823,378
6080,11.61499977,379
3601,9.088999748,380
711,11.375,381
NA,15.22599983,382
NA,14.31799984,383
2424,11.27099991,384
709,8.616000175,385
393,15.26299953,386
88,17.61199951,387
NA,18.75600052,388
289,37.76699829,389
NA,NA,390
5391,13.45699978,391
NA,NA,392
2043,24.46800041,393
NA,NA,394
NA,NA,395
NA,1.799999952,396
NA,NA,397
NA,NA,398
NA,NA,399
NA,NA,400
227,8.720000267,401
NA,5.400000095,402
401,7.018000126,403
903,6.387000084,404
1661,7.519000053,405
202,82.97899628,406
NA,NA,407
581,22.61700058,408
177,29.84900093,409
278,55.36899948,410
NA,14.69799995,411
NA,10.70199966,412
NA,17.97400093,413
NA,8.305000305,414
NA,7.59100008,415
90,16.56299973,416
NA,30.28899956,417
76,15.64000034,418
57,18.77000046,419
281,15.35900021,420
228,NA,421
151,48.9640007,422
222,NA,423
369,40.85499954,424
552,NA,425
NA,NA,426
746,22.58399963,427
NA,NA,428
NA,NA,429
1199,20.24600029,430
NA,10.48099995,431
744,5.763999939,432
349,9.998000145,433
431,11.00300026,434
421,20.82900047,435
103,13.71100044,436
NA,NA,437
NA,NA,438
139,32.40800095,439
NA,NA,440
NA,NA,441
NA,NA,442
NA,NA,443
NA,NA,444
NA,NA,445
72,11.37699986,446
195,NA,447
110,8.960000038,448
21,10.8920002,449
NA,NA,450
NA,72.26000214,451
NA,NA,452
NA,128.253006,453
2071,28.41900063,454
NA,NA,455
17135,36.32699966,456
NA,14.12800026,457
5459,40.875,458
NA,20.01399994,459
3033,45.86500168,460
53290,24.90600014,461
3676,23.8390007,462
5924,9.083000183,463
4964,19.8029995,464
5997,46.65200043,465
NA,NA,466
NA,NA,467
NA,NA,468
NA,NA,469
NA,NA,470
741,7.110000134,471
NA,4.869999886,472
NA,1.743000031,473
NA,5.712999821,474
3254,4.882999897,475
371,23.44400024,476
NA,NA,477
NA,NA,478
NA,NA,479
NA,NA,480
521,59.35100174,481
1565,25.88299942,482
657,26.22900009,483
520,26.04700089,484
496,45.65599823,485
1732,18.10499954,486
NA,12.36100006,487
792,13.10999966,488
239,NA,489
398,15.70400047,490
